,Adyar Dry Waste,Anna Nagar Dry Waste,T. Nagar Dry Waste,Kodambakkam Dry Waste,Mylapore Dry Waste,Royapettah Dry Waste,Velachery Dry Waste,Nungambakkam Dry Waste,Alwarpet Dry Waste,Besant Nagar Dry Waste,Saidapet Dry Waste,Thiruvanmiyur Dry Waste,Perambur Dry Waste,Egmore Dry Waste,Guindy Dry Waste,Pallavaram Dry Waste,Chromepet Dry Waste,Tambaram Dry Waste,Porur Dry Waste,Madipakkam Dry Waste,Adyar Wet Waste,Anna Nagar Wet Waste,T. Nagar Wet Waste,Kodambakkam Wet Waste,Mylapore Wet Waste,Royapettah Wet Waste,Velachery Wet Waste,Nungambakkam Wet Waste,Alwarpet Wet Waste,Besant Nagar Wet Waste,Saidapet Wet Waste,Thiruvanmiyur Wet Waste,Perambur Wet Waste,Egmore Wet Waste,Guindy Wet Waste,Pallavaram Wet Waste,Chromepet Wet Waste,Tambaram Wet Waste,Porur Wet Waste,Madipakkam Wet Waste
2024-01-01,3.195254015709299,3.860757465489678,3.411053504286575,3.179532731987587,2.694619197355619,3.583576452266624,2.75034884505077,4.56709200312832,4.854651042004117,2.533766075303111,4.166900152330658,3.115579679011618,3.272178244375729,4.702386553170644,1.284144232791548,1.348517198806163,1.080873589761303,4.330479382191752,4.112627003799401,4.480048592987277,2.968278476619574,3.272613400504151,3.71918696090371,2.066907772864044,3.598645035953499,2.899470000411768,2.622167218454313,4.61120623835002,4.191612439793936,4.738430512814508,4.346607299548424,1.167242404613205,3.426117564303294,3.790547526061883,3.6594299028652,2.087825739033403,2.702521405859966,1.156116552334383,1.376376510782693,3.242047602476736
2024-01-02,4.914473368931056,4.196634256866894,2.845917449011727,4.122116705145822,1.473097703475733,3.559684085310095,1.573413149636186,4.778675668198336,3.087393287000287,2.658647759962094,2.058222448418508,4.096934757736866,2.824601328866194,3.273735795474594,1.075159201745421,3.470541988303508,3.448382890889686,3.467735987499028,4.774992314058497,3.727281196413934,3.329647057862321,1.804917162494555,2.792810894966185,2.888309038994646,1.045347110140721,1.570083133209972,3.497200229130715,4.971280431190468,3.601566991749745,1.48086666875144,4.285761188396426,2.726150884726336,1.334800836857777,3.39929833330409,1.912184392659676,2.667126989518118,2.273176999497405,3.571415790028958,2.724138691226488,1.415928372865906
2024-01-03,2.438031602295144,2.748127815197366,3.790524783709059,1.240901886517079,3.667066861782671,3.682551478472638,1.841530244295364,1.515705190619413,2.261713403696735,2.45484308377049,3.280787081671519,2.754406053849281,4.953495352236905,1.408179242992112,1.835507024379339,1.645238071539985,3.612433301861594,2.013166410159128,2.865243091425225,1.977702368006411,1.862702264528217,3.001781094552246,4.156736908283039,1.038973060950541,3.4497091359576,1.463527034702665,3.416197695072678,4.347230541912996,1.91393186590774,2.982059009909071,4.09621170337814,1.702309917018483,1.610244570807846,4.620183474557042,3.778586605495586,3.946293452168887,4.375874510448162,3.157703123540045,2.953621996769855,3.225029406333521
2024-01-04,1.635878334582079,1.441500564657221,3.625318357861094,1.552731805394455,1.786329446720214,2.474900682643856,4.28397291939174,1.388405103172245,4.351779629995216,1.384393631575852,4.905837860053583,2.874604806590806,4.907044352761348,3.419382078980184,3.957054317593207,1.156751169017283,2.131227850305638,1.480786244852676,2.18456079008858,1.474910875816976,3.868071875728563,2.563749220609046,1.380672986867935,1.542387538331539,4.895611832169614,1.20687064936313,3.846477349796597,4.774726113684013,1.517038188962332,3.889057511408313,2.209826391921243,1.947860073244656,4.410490432852302,4.637414766343936,2.388202037569521,3.53059014683707,1.703750537337845,4.15903774570501,4.524959551502826,2.274689408726115
2024-01-05,2.271932717575904,2.65705197805868,1.256589985395137,3.769888477480079,3.266405816826301,2.061557963757782,3.092992213866799,1.375762043033767,3.303785982224717,4.717184790304856,2.274275809805295,3.669641519854727,1.527191449617569,3.865308816474262,2.157624371788804,1.732765448028467,3.346051739240333,1.080430184749974,4.315760116869452,1.018781904770188,3.611867936989927,4.50567079156597,1.061499624999026,4.42294104831902,3.288457376688218,2.656061539100604,3.090463387395005,4.296248032247968,3.888518198200118,3.005059402728997,2.950609303749688,4.597030850781534,1.929368814414431,1.382806783236559,3.714552474781728,3.808846848823058,3.273544107283834,2.050146180312624,2.183812241619065,3.468172915446828
2024-01-06,3.71126614718492,2.080031892768659,3.94077608849038,4.848754180469752,1.995012574079832,3.304629337671348,3.368167725087356,3.289007623163493,1.892326530562473,4.81099604606794,2.788501514470509,4.385634689884512,3.797917101270017,2.189747803420535,4.255191278809908,2.586022963387939,4.524412788444646,3.325091490543435,4.526941447419411,3.770126360311064,2.09183336939213,2.998484849603763,2.328297399538348,3.041752704538597,1.917455598757738,1.792241913261133,3.935993359251638,2.542910149441626,1.930264764658858,4.433681605928641,2.606801906080785,1.463480661042191,3.832191855382209,2.119887956966817,3.260968981436165,3.494772161048637,4.850297484367681,1.764404802460668,2.136688229081353,4.728879328313282
2024-01-07,3.901017119278562,3.005297527706809,4.824334538892895,3.57596079691855,2.695420194232719,3.425572856511697,1.076772793237334,2.206299266698197,3.64069414997074,2.160310428841776,3.472061715995366,2.715074803783065,1.541896256889801,2.193129303824123,3.279859642805059,3.363491044992693,3.297300995398315,3.612803279428535,3.608413080006756,2.725673741735896,3.873171625256003,2.797323987900849,3.939093588917157,2.653540492838531,2.640206085515913,1.625667016896455,3.088192986371131,2.050657656740111,3.534373743813198,2.594424731357458,4.414884130917193,4.085450364522094,1.591732932774236,3.36436785274246,3.854962481935218,3.057763646439302,1.455789127963316,3.012989576495742,2.731595958625191,2.303017743945693
2024-01-08,4.586186383404252,2.470247480191586,2.743459701062507,4.567693420062689,4.224775956184343,3.815554334161465,1.400907549249204,4.677930454978695,3.856965198196446,4.995388026271466,1.597793218631975,4.472504229472857,1.649971738705499,3.462238257135377,1.495279931397766,4.392032917288938,4.229275834900043,3.276402954458373,2.628733188903999,1.276667981820552,3.330142286184587,2.299489331950564,1.942226748021162,3.943605101537524,1.853484085530169,4.221153021727346,4.91664402487352,2.764954865812637,4.249569543967468,1.673470913559275,4.189214008803215,4.849868634134935,3.068093576679612,2.022879216831758,1.643305073106506,4.666507317135459,2.298290154746777,2.988014923532264,2.733726204687383,2.740862081825429
2024-01-09,3.789715092578255,2.814170730712275,3.888222397881392,4.465529303714517,4.902086020011543,4.423213369570444,1.046856336740008,2.439912257913456,3.919962249696232,1.686518709045762,3.084146424816517,1.217351953357015,1.7999860995856,1.074087177842456,4.174790813429683,1.895698752241521,2.381406722787611,4.712325173862363,3.817657607694131,1.127355718125231,4.061033041804989,4.740633277260111,3.547098708912268,4.828552889788853,1.761778674432135,3.255749106513587,3.742027941513564,3.859905318504627,4.023389804398819,2.332600406536658,4.528778318010356,1.526822249807604,2.114142857396049,2.874856002306501,3.367992370351408,2.181136726571666,4.631302579805436,2.807387326070363,1.401349336462739,4.276207063145082
2024-01-10,1.658776625991651,3.485913605999054,3.30891435441667,1.951571285498034,4.736855991699175,3.455863823863584,3.142531212099833,3.359639905418284,3.920488118067079,2.247779981918407,2.592884248864368,1.839374995900489,1.744772023521345,4.777489559935734,3.95820318019715,2.961835234470268,1.909658511893293,2.017425927081572,1.232116641295502,2.737666502232483,4.861815583003152,2.385310600343379,3.21857433834087,3.332282411151007,4.206483675205525,1.607353095446302,4.36501625612018,3.886438005005277,1.139680383764872,3.267660685088933,1.112135068435848,2.985759789344159,3.39765247127117,3.539518822516722,4.707514674750845,2.188228075443135,4.378263438953983,2.808884853481659,3.667759438353795,4.231773691690533
